czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
0.0,475,55,155,358,-26,118
0.46,474,54,154,355,-22,115
0.57,476,63,156,353,-25,113
0.68,476,60,156,352,-24,112
0.72,477,66,157,350,-22,110
0.78,478,66,158,347,-21,107
0.85,494,123,174,336,-4,96
0.92,504,110,184,331,-15,91
0.99,494,28,174,331,-27,91
1.04,481,13,161,329,-22,89
1.1,474,41,154,329,-28,89
1.16,454,-3,134,324,-18,84
1.24,441,6,121,321,-20,81
1.3,426,-6,106,318,-20,78
1.36,417,20,97,315,-20,75
1.41,399,-21,79,311,-17,71
1.47,381,-24,61,305,-12,65
1.53,349,-80,29,297,-7,57
1.59,339,0,19,294,-18,54
1.65,318,-59,-2,291,-18,51
1.71,308,-7,-12,286,-12,46
1.77,288,-54,-32,287,-28,47
1.82,269,-53,-51,275,6,35
1.88,248,-70,-72,276,-27,36
1.94,230,-53,-90,269,-7,29
2.0,220,-30,-100,257,9,17
2.06,203,-58,-117,248,0,8
2.12,186,-60,-134,245,-14,5
2.19,178,-26,-142,234,4,-6
2.25,165,-41,-155,226,-4,-14
2.35,151,-52,-169,216,2,-24
2.42,139,-66,-181,208,7,-32
2.47,129,-59,-191,202,1,-38
2.53,121,-48,-199,194,5,-46
2.59,112,-63,-208,187,7,-53
2.64,100,-82,-220,178,15,-62
2.7,115,20,-205,181,-16,-59
2.78,121,-8,-199,179,-7,-61
2.87,121,-26,-199,179,-10,-61
2.94,218,337,-102,0,395,-240
3.01,218,-6,-102,2,12,-238
3.08,219,-3,-101,0,22,-240
3.14,221,1,-99,10,-7,-230
3.2,254,128,-66,6,28,-234
3.27,280,96,-40,2,29,-238
3.34,280,5,-40,2,22,-238
3.4,280,4,-40,2,23,-238
3.46,280,4,-40,2,24,-238
3.53,280,4,-40,2,25,-238
3.58,280,3,-40,2,26,-238
3.63,280,3,-40,2,27,-238
3.69,280,3,-40,2,29,-238
3.77,280,2,-40,2,30,-238
3.85,280,2,-40,2,32,-238
3.93,280,2,-40,2,33,-238
3.99,280,1,-40,2,34,-238
4.04,219,-273,-101,1,38,-239
4.1,196,-110,-124,2,34,-238
4.17,189,-54,-131,5,29,-235
4.22,189,-22,-131,5,38,-235
4.27,189,-23,-131,5,39,-235
4.32,189,-24,-131,5,40,-235
4.38,207,58,-113,3,47,-237
4.43,208,-16,-112,2,45,-238
4.49,209,-17,-111,2,44,-238
4.54,193,-98,-127,2,45,-238
4.6,592,450,272,20,-14,-220
4.64,580,5,260,109,-225,-131
4.7,556,-46,236,150,-81,-90
4.76,517,-45,197,204,-61,-36
4.85,500,-24,180,223,-32,-17
4.91,466,-124,146,258,-90,18
4.96,452,-22,132,269,-18,29
5.02,434,-39,114,276,-7,36
5.08,426,5,106,268,31,28
5.14,429,50,109,251,51,11
5.21,430,44,110,247,24,7
5.27,434,55,114,242,25,2
5.34,437,52,117,236,26,-4
5.44,438,48,118,232,24,-8
5.51,447,79,127,223,36,-17
5.59,459,97,139,212,44,-28
5.65,471,100,151,197,54,-43
5.72,482,96,162,194,28,-46
5.8,499,128,179,182,51,-58
5.86,514,122,194,179,31,-61
5.94,519,93,199,178,28,-62
6.0,516,62,196,184,11,-56
6.06,511,56,191,185,23,-55
6.14,505,50,185,182,33,-58
6.2,498,53,178,179,32,-61
6.28,495,63,175,178,29,-62
6.34,495,76,175,171,42,-69
6.42,492,67,172,164,43,-76
6.49,489,64,169,155,56,-85
6.55,486,68,166,150,43,-90
6.62,490,94,170,155,22,-85
6.69,487,70,167,157,28,-83
6.76,483,64,163,160,24,-80
6.81,475,49,155,166,17,-74
6.89,469,62,149,168,28,-72
6.95,462,51,142,176,11,-64
7.01,451,43,131,189,4,-51
7.09,441,22,121,204,-22,-36
7.14,426,18,106,216,-1,-24
7.2,413,21,93,224,6,-16
7.26,396,12,76,245,-21,5
7.34,380,11,60,260,-11,20
7.41,364,-7,44,280,-35,40
7.46,352,9,32,288,-5,48
7.52,334,-18,14,294,1,54
7.58,312,-36,-8,325,-63,85
7.64,291,-32,-29,342,-30,102
7.71,270,-43,-50,359,-36,119
7.77,292,135,-28,327,86,87
7.83,276,-40,-44,355,-83,115
7.88,266,-9,-54,373,-52,133
7.93,264,30,-56,359,46,119
7.99,261,28,-59,345,36,105
8.05,261,39,-59,344,5,104
8.16,254,11,-66,359,-31,119
8.23,257,47,-63,356,8,116
8.31,259,44,-61,351,12,111
8.37,265,61,-55,346,13,106
8.44,270,59,-50,337,25,97
8.49,278,74,-42,323,40,83
8.55,284,68,-36,312,35,72
8.61,288,57,-32,301,32,61
8.72,291,49,-29,294,16,54
8.77,293,51,-27,291,15,51
8.83,293,42,-27,286,21,46
8.94,294,44,-26,277,21,37
8.99,294,41,-26,274,17,34
9.04,290,22,-30,261,46,21
9.15,288,35,-32,258,14,18
9.21,282,12,-38,254,21,14
9.26,272,7,-48,251,16,11
9.35,263,-11,-57,255,-2,15
9.4,258,9,-62,257,4,17
9.46,235,-33,-85,259,6,19
9.56,229,-7,-91,253,28,13
9.61,213,-54,-107,254,7,14
9.66,214,20,-106,1,350,-239
9.79,214,17,-106,1,46,-239
9.86,214,16,-106,1,48,-239
9.94,202,-32,-118,259,-450,19
10.01,208,34,-112,265,1,25
10.08,210,20,-110,265,13,25
10.16,215,25,-105,273,0,33
10.24,218,24,-102,270,20,30
10.32,222,26,-98,271,10,31
10.39,229,37,-91,276,1,36
10.45,231,21,-89,280,0,40
10.5,233,20,-87,287,-7,47
10.58,234,15,-86,294,-4,54
10.65,233,7,-87,310,-35,70
10.71,230,-1,-90,313,-2,73
10.78,226,-9,-94,324,-24,84
10.84,226,7,-94,328,-6,88
10.92,217,-27,-103,333,-10,93
10.99,210,-26,-110,340,-18,100
11.05,200,-41,-120,348,-22,108
11.12,191,-41,-129,355,-21,115
11.18,179,-62,-141,361,-21,121
11.23,169,-59,-151,363,-12,123
11.28,160,-40,-160,347,22,107
11.37,150,-63,-170,350,-13,110
11.43,138,-79,-182,348,0,108
11.56,273,255,-47,315,34,75
11.62,207,-331,-113,274,123,34
11.67,264,254,-56,2,450,-238
11.74,191,-265,-129,2,41,-238
11.8,194,-1,-126,4,37,-236
11.86,173,-110,-147,314,-450,74
11.93,184,19,-136,338,-51,98
11.99,194,23,-126,338,-3,98
12.05,217,91,-103,350,-38,110
12.11,239,87,-81,352,-11,112
12.17,263,101,-57,353,-9,113
12.22,287,71,-33,360,-20,120
12.31,314,135,-6,372,-44,132
12.36,338,126,18,390,-64,150
12.42,366,105,46,414,-62,174
12.5,381,83,61,424,-43,184
12.56,192,-450,-128,2,450,-238
12.62,187,-40,-133,2,37,-238
12.68,193,5,-127,2,38,-238
12.74,194,-19,-126,2,40,-238
12.86,192,-28,-128,3,40,-237
12.93,190,-33,-130,4,40,-236
12.99,187,-41,-133,4,44,-236
13.06,192,-10,-128,3,47,-237
13.12,191,-32,-129,4,44,-236
13.18,180,-77,-140,2,53,-238
13.27,192,4,-128,2,50,-238
13.34,189,-41,-131,4,47,-236
13.41,185,-50,-135,2,57,-238
13.47,190,-13,-130,2,53,-238
13.53,196,-6,-124,2,54,-238
13.59,184,-90,-136,3,53,-237
13.64,187,-27,-133,5,52,-235
13.72,190,-25,-130,2,65,-238
13.78,501,450,181,342,-450,102
13.83,190,-450,-130,5,450,-235
13.9,518,450,198,332,-450,92
13.96,185,-450,-135,3,450,-237
14.02,186,-33,-134,3,60,-237
14.07,553,450,233,335,-450,95
14.14,559,71,239,338,9,98
14.2,576,133,256,339,12,99
14.25,572,38,252,333,30,93
14.32,574,64,254,329,24,89
14.39,578,73,258,327,19,87
14.47,582,78,262,312,51,72
14.53,562,-14,242,296,54,56
14.6,581,159,261,295,21,55
14.65,602,123,282,290,26,50
14.76,603,81,283,288,24,48
14.81,597,50,277,278,46,38
14.87,614,136,294,297,-18,57
14.95,190,-450,-130,4,450,-236
15.01,191,-7,-129,4,57,-236
15.07,190,-16,-130,2,63,-238
15.18,188,-22,-132,4,57,-236
15.27,191,-3,-129,4,62,-236
15.33,187,-32,-133,2,68,-238
15.39,190,-6,-130,2,65,-238
15.45,181,-56,-139,2,66,-238
15.56,181,-22,-139,2,68,-238
15.62,190,14,-130,1,72,-239
15.68,218,92,-102,3,66,-237
15.75,191,-134,-129,2,74,-238
15.81,181,-60,-139,3,71,-237
15.88,185,-6,-135,2,77,-238
15.93,190,-3,-130,1,78,-239
15.99,191,-21,-129,1,76,-239
16.03,190,-32,-130,2,74,-238
16.08,579,450,259,238,-450,-2
16.21,448,-237,128,238,46,-2
16.25,411,-140,91,243,32,3
16.31,366,-189,46,248,31,8
16.45,356,-6,36,244,50,4
16.49,348,-20,28,243,48,3
16.56,347,8,27,236,65,-4
16.62,346,9,26,236,46,-4
16.69,343,1,23,232,56,-8
16.76,331,-27,11,230,51,-10
16.84,327,-4,7,228,51,-12
16.93,318,-24,-2,228,48,-12
17.0,313,-13,-7,223,59,-17
17.07,304,-31,-16,223,49,-17
17.13,301,-10,-19,225,43,-15
17.19,298,-13,-22,229,36,-11
17.24,295,-12,-25,234,35,-6
17.3,292,-13,-28,244,21,4
17.37,290,-7,-30,250,34,10
17.44,288,-8,-32,258,28,18
17.51,285,-12,-35,268,24,28
17.6,284,-7,-36,282,10,42
17.67,284,-3,-36,288,26,48
17.74,282,-13,-38,301,4,61
17.8,282,-4,-38,315,2,75
17.86,282,-5,-38,330,4,90
17.93,281,-10,-39,354,-37,114
17.99,279,-14,-41,364,4,124
18.05,280,-3,-40,381,-9,141
18.13,278,-13,-42,398,-11,158
18.21,286,19,-34,394,28,154
18.29,289,5,-31,414,-23,174
18.36,297,19,-23,405,32,165
18.45,307,31,-13,365,100,125
18.52,334,99,14,314,135,74
18.6,364,133,44,233,235,-7
18.66,354,-26,34,216,77,-24
18.73,355,14,35,212,49,-28
18.8,350,-11,30,215,33,-25
18.86,350,9,30,212,49,-28
18.93,350,10,30,212,41,-28
19.0,336,-48,16,220,22,-20
19.06,332,-10,12,217,48,-23
19.13,327,-13,7,218,39,-22
19.2,319,-25,-1,229,17,-11
19.27,310,-41,-10,237,16,-3
19.33,300,-42,-20,251,2,11
19.39,289,-37,-31,268,4,28
19.47,277,-41,-43,286,1,46
19.56,265,-53,-55,306,-14,66
19.64,256,-38,-64,326,-8,86
19.72,244,-58,-76,359,-48,119
19.8,244,-17,-76,359,20,119
19.84,188,-285,-132,2,450,-238
19.9,240,235,-80,384,-450,144
19.95,233,-57,-87,369,65,129
20.0,228,-47,-92,354,63,114
20.05,225,-37,-95,349,34,109
20.11,224,-30,-96,338,57,98
20.15,224,-25,-96,335,31,95
20.2,226,-16,-94,326,48,86
20.28,228,-19,-92,322,30,82
20.33,230,-16,-90,309,62,69
20.38,230,-26,-90,306,32,66
20.52,233,-21,-87,303,27,63
20.57,234,-22,-86,301,30,61
20.61,242,13,-78,298,32,58
20.76,246,-19,-74,298,23,58
20.8,251,0,-69,298,23,58
20.85,267,10,-53,304,14,64
20.98,270,-11,-50,307,14,67
21.04,278,14,-42,312,6,72
21.09,296,15,-24,328,-1,88
21.23,300,1,-20,333,2,93
21.29,310,27,-10,343,-12,103
21.35,330,49,10,364,-27,124
21.43,340,38,20,376,-25,136
21.48,346,25,26,383,-15,143
21.53,368,41,48,407,-26,167
21.66,378,51,58,416,-27,176
21.71,388,57,68,428,-40,188
21.85,399,26,79,440,-18,200
21.91,415,87,95,445,-22,205
21.97,422,47,102,443,-3,203
22.05,451,107,131,440,-4,200
22.1,464,69,144,437,-4,197
22.18,489,133,169,432,1,192
22.24,498,74,178,427,2,187
22.3,503,62,183,424,-3,184
22.36,512,66,192,414,4,174
22.45,517,65,197,408,3,168
22.51,520,60,200,394,26,154
22.58,524,64,204,381,19,141
22.64,525,56,205,377,2,137
22.69,524,49,204,368,13,128
22.76,521,46,201,354,16,114
22.85,517,35,197,341,31,101
22.9,513,42,193,330,17,90
22.97,507,43,187,314,17,74
23.08,505,48,185,316,-10,76
23.14,497,22,177,297,47,57
23.23,482,17,162,284,19,44
23.29,476,32,156,279,11,39
23.36,458,-22,138,266,33,26
23.44,440,-10,120,259,15,19
23.49,428,2,108,247,30,7
23.56,413,-3,93,240,18,0
23.64,399,-9,79,233,20,-7
23.7,385,-12,65,231,10,-9
23.77,363,-42,43,228,12,-12
23.84,356,5,36,226,11,-14
23.9,339,-37,19,224,11,-16
23.96,314,-70,-6,220,16,-20
24.03,307,-6,-13,219,10,-21
24.09,291,-40,-29,217,12,-23
24.16,270,-61,-50,213,17,-27
24.22,261,-27,-59,212,11,-28
24.28,244,-68,-76,212,9,-28
24.33,232,-44,-88,205,27,-35
24.4,217,-57,-103,206,7,-34
24.46,204,-43,-116,208,6,-32
24.55,190,-52,-130,204,18,-36
24.62,178,-55,-142,202,15,-38
24.69,166,-61,-154,199,18,-41
24.75,160,-35,-160,206,-1,-34
24.85,150,-54,-170,199,26,-41
24.92,136,-80,-184,193,27,-47
24.99,129,-54,-191,189,22,-51
25.06,124,-50,-196,187,19,-53
25.13,119,-57,-201,187,15,-53
25.19,104,-105,-216,182,29,-58
25.25,102,-50,-218,182,16,-58
25.3,116,4,-204,191,-2,-49
25.38,127,5,-193,176,53,-64
25.45,127,-41,-193,176,18,-64
25.51,127,-43,-193,176,18,-64
25.59,127,-44,-193,176,18,-64
25.66,127,-46,-193,176,19,-64
25.74,127,-48,-193,176,19,-64
25.81,282,450,-38,16,370,-224
25.89,299,51,-21,6,66,-234
25.96,218,-324,-102,6,45,-234
26.03,218,-30,-102,6,46,-234
26.08,218,-31,-102,5,50,-235
26.14,218,-32,-102,5,49,-235
26.22,218,-32,-102,5,50,-235
26.27,218,-33,-102,5,51,-235
26.33,218,-34,-102,6,51,-234
26.42,218,-35,-102,3,60,-237
26.49,218,-36,-102,3,56,-237
26.57,218,-37,-102,3,57,-237
26.62,180,-221,-140,3,58,-237
26.68,180,-47,-140,3,59,-237
26.73,180,-48,-140,3,60,-237
26.78,219,148,-101,0,70,-240
26.83,218,-44,-102,6,53,-234
26.93,218,-42,-102,6,64,-234
27.02,218,-43,-102,6,65,-234
27.1,181,-174,-139,0,79,-240
27.16,181,-53,-139,2,63,-238
27.22,219,121,-101,0,75,-240
27.34,219,-47,-101,0,72,-240
27.4,219,-48,-101,0,73,-240
27.46,219,-49,-101,0,74,-240
27.57,219,-50,-101,1,75,-239
27.63,219,-51,-101,2,75,-238
27.7,219,-52,-101,2,79,-238
27.76,219,-53,-101,2,80,-238
27.84,219,-53,-101,2,81,-238
27.9,219,-54,-101,2,82,-238
27.96,219,-55,-101,2,84,-238
28.02,219,-55,-101,2,85,-238
28.08,219,-57,-101,2,87,-238
28.18,219,-57,-101,2,88,-238
28.24,219,-58,-101,2,89,-238
28.31,219,-59,-101,2,90,-238
28.38,219,-60,-101,1,94,-239
28.44,219,-61,-101,1,93,-239
28.5,219,-62,-101,1,94,-239
28.59,219,-62,-101,1,96,-239
28.65,219,-63,-101,1,97,-239
28.78,219,-65,-101,1,99,-239
28.83,219,-65,-101,1,100,-239
28.88,219,-66,-101,1,101,-239
29.0,219,-67,-101,1,104,-239
29.06,219,-68,-101,1,105,-239
29.12,219,-69,-101,1,106,-239
29.23,219,-70,-101,1,108,-239
29.28,219,-71,-101,1,109,-239
29.35,219,-72,-101,1,111,-239
29.46,219,-73,-101,1,112,-239
29.51,219,-73,-101,1,113,-239
29.57,219,-75,-101,1,115,-239
29.67,219,-75,-101,1,116,-239
29.72,219,-76,-101,1,117,-239
29.78,219,-78,-101,1,120,-239
29.93,219,-79,-101,1,121,-239
29.99,219,-79,-101,1,122,-239
30.04,219,-80,-101,1,124,-239
30.13,219,-81,-101,1,125,-239
30.21,219,-82,-101,1,127,-239
30.26,219,-83,-101,1,128,-239
30.32,219,-83,-101,1,129,-239
30.38,219,-84,-101,1,130,-239
30.44,219,-85,-101,1,131,-239
30.51,219,-86,-101,1,132,-239
30.58,219,-86,-101,1,134,-239
30.64,219,-87,-101,1,135,-239
30.7,219,-88,-101,1,136,-239
30.76,219,-89,-101,1,137,-239
30.84,219,-90,-101,1,139,-239
30.92,219,-91,-101,1,140,-239
30.98,219,-91,-101,1,141,-239
31.04,219,-92,-101,1,142,-239
31.16,219,-93,-101,1,145,-239
31.21,219,-94,-101,1,146,-239
31.28,219,-95,-101,1,147,-239
31.38,219,-96,-101,1,149,-239
31.43,219,-97,-101,1,150,-239
31.5,219,-98,-101,1,151,-239
31.57,219,-98,-101,1,153,-239
31.63,219,-99,-101,1,154,-239
31.69,219,-100,-101,1,155,-239
31.76,219,-101,-101,1,156,-239
31.81,219,-102,-101,1,158,-239
31.89,219,-102,-101,1,159,-239
31.95,219,-103,-101,1,160,-239
32.01,219,-104,-101,1,161,-239
32.06,219,-105,-101,1,162,-239
32.13,219,-105,-101,1,163,-239
32.19,219,-106,-101,1,165,-239
32.27,219,-107,-101,1,166,-239
32.35,219,-108,-101,1,168,-239
32.41,219,-109,-101,1,169,-239
32.5,219,-110,-101,1,171,-239
32.57,219,-111,-101,1,172,-239
32.65,219,-112,-101,1,174,-239
32.72,219,-113,-101,1,175,-239
32.79,219,-114,-101,1,176,-239
32.87,219,-114,-101,1,177,-239
32.92,219,-115,-101,1,179,-239
32.99,219,-116,-101,1,180,-239
33.06,219,-117,-101,1,181,-239
33.12,219,-117,-101,1,182,-239
33.17,219,-118,-101,1,183,-239
33.24,219,-119,-101,1,184,-239
33.29,219,-119,-101,1,185,-239
33.34,219,-120,-101,1,187,-239
33.41,219,-121,-101,1,188,-239
33.47,219,-122,-101,1,189,-239
33.52,219,-122,-101,1,190,-239
33.67,219,-124,-101,1,193,-239
33.72,219,-125,-101,1,194,-239
33.77,219,-125,-101,1,195,-239
33.91,570,450,250,473,-383,233
33.96,474,-433,154,444,200,204
34.02,339,-450,19,283,450,43
34.12,342,-84,22,305,116,65
34.18,351,-49,31,380,-64,140
34.23,371,-24,51,458,-14,218
34.32,371,-85,51,456,133,216
34.38,370,-89,50,434,190,194
34.43,394,-14,74,476,55,236
34.53,394,-78,74,476,121,236
34.59,394,-78,74,476,120,236
34.65,394,-77,74,476,119,236
34.71,394,-76,74,476,118,236
34.78,394,-76,74,476,117,236
34.85,394,-75,74,476,115,236
34.92,219,-450,-101,1,450,-239
34.98,219,-115,-101,1,180,-239
35.05,219,-116,-101,1,181,-239
35.11,219,-117,-101,1,182,-239
35.19,219,-118,-101,1,184,-239
35.25,219,-118,-101,1,185,-239
35.3,219,-119,-101,1,186,-239
35.4,219,-120,-101,1,188,-239
35.48,219,-121,-101,1,189,-239
35.56,406,450,86,249,-415,9
35.63,390,-132,70,214,226,-26
35.71,198,-450,-122,2,450,-238
35.77,198,-127,-122,1,194,-239
35.84,191,-158,-129,1,193,-239
35.9,191,-130,-129,1,195,-239
35.98,191,-132,-129,1,197,-239
36.07,379,450,59,131,-71,-109
36.15,206,-450,-114,2,450,-238
36.21,372,450,52,126,-100,-114
36.28,376,-75,56,131,171,-109
36.35,378,-82,58,136,171,-104
36.41,379,-85,59,144,164,-96
36.48,376,-100,56,147,176,-93
36.55,376,-89,56,147,183,-93
36.6,376,-89,56,147,183,-93
36.66,376,-88,56,147,184,-93
36.72,376,-88,56,147,184,-93
36.78,376,-87,56,147,185,-93
36.85,376,-87,56,147,185,-93
36.92,376,-86,56,147,185,-93
36.98,376,-86,56,147,186,-93
37.06,376,-85,56,147,187,-93
37.12,376,-85,56,147,187,-93
37.19,376,-85,56,147,188,-93
37.26,376,-84,56,147,188,-93
37.32,376,-84,56,147,188,-93
37.38,376,-83,56,147,189,-93
37.45,376,-83,56,147,190,-93
37.53,376,-82,56,147,190,-93
37.62,376,-82,56,147,191,-93
37.68,376,-81,56,147,191,-93
37.75,376,-81,56,147,192,-93
37.83,382,-58,62,258,-49,18
37.9,394,-26,74,254,188,14
37.96,384,-119,64,262,157,22
38.03,383,-81,63,270,156,30
38.09,378,-100,58,277,156,37
38.15,380,-68,60,266,205,26
38.22,386,-59,66,259,187,19
38.3,389,-62,69,256,184,16
38.37,390,-70,70,253,182,13
38.45,386,-87,66,250,184,10
38.51,382,-88,62,246,186,6
38.58,380,-82,60,240,194,0
38.64,377,-86,57,230,204,-10
38.7,375,-83,55,224,197,-16
38.76,372,-86,52,224,181,-16
38.82,371,-78,51,223,183,-17
38.89,372,-69,52,220,190,-20
38.94,376,-57,56,219,184,-21
39.01,378,-61,58,215,194,-25
39.06,367,-126,47,216,180,-24
39.11,364,-88,44,216,183,-24
39.16,361,-89,41,224,158,-16
39.22,362,-69,42,228,171,-12
39.28,356,-95,36,225,188,-15
39.35,361,-57,41,225,182,-15
39.43,363,-64,43,224,184,-16
39.48,368,-53,48,222,187,-18
39.55,370,-62,50,229,164,-11
39.61,368,-79,48,231,176,-9
39.67,363,-91,43,236,168,-4
39.73,362,-74,42,232,190,-8
39.8,357,-92,37,234,176,-6
39.86,358,-67,38,235,178,-5
39.91,361,-58,41,236,178,-4
39.97,355,-90,35,233,187,-7
40.05,351,-88,31,235,176,-5
40.11,351,-72,31,238,174,-2
40.19,352,-69,32,238,180,-2
40.28,349,-83,29,234,190,-6
40.35,351,-63,31,232,186,-8
40.43,348,-80,28,236,174,-4
40.5,353,-52,33,237,179,-3
40.57,354,-66,34,241,173,1
40.65,351,-81,31,242,178,2
40.71,357,-43,37,245,172,5
40.77,358,-64,38,246,177,6
40.86,366,-43,46,247,178,7
40.93,366,-65,46,250,173,10
41.01,366,-64,46,250,179,10
41.08,370,-47,50,248,184,8
41.13,361,-94,41,252,171,12
41.21,360,-68,40,252,178,12
41.29,359,-68,39,250,183,10
41.36,361,-57,41,249,181,9
41.43,358,-74,38,251,174,11
41.51,361,-52,41,251,178,11
41.58,362,-59,42,251,178,11
41.64,361,-66,41,249,182,9
41.72,360,-66,40,249,178,9
41.79,366,-38,46,250,176,10
41.86,366,-60,46,248,183,8
41.93,359,-86,39,249,176,9
42.0,366,-33,46,248,181,8
42.06,364,-69,44,247,181,7
42.11,361,-74,41,248,175,8
42.17,364,-45,44,247,181,7
42.28,364,-58,44,246,180,6
42.33,362,-68,42,248,173,8
42.39,366,-49,46,250,175,10
42.52,369,-43,49,251,175,11
42.58,369,-56,49,254,169,14
42.63,365,-62,45,250,181,10
42.79,370,-35,50,250,177,10
42.86,369,-57,49,250,177,10
42.95,365,-70,45,252,172,12
43.0,365,-54,45,255,169,15
43.06,366,-49,46,256,174,16
43.12,365,-56,45,255,178,15
43.23,366,-48,46,255,176,15
43.28,368,-42,48,255,176,15
43.4,363,-62,43,257,174,17
43.46,366,-40,46,257,176,17
43.53,371,-30,51,257,176,17
43.59,378,-20,58,254,183,14
43.65,386,-8,66,253,179,13
43.7,518,450,198,268,134,28
43.78,518,-14,198,268,174,28
43.84,518,-12,198,268,174,28
43.89,518,-10,198,268,173,28
43.99,518,-9,198,268,173,28
44.05,518,-7,198,268,173,28
44.11,518,-5,198,268,173,28
44.21,518,-3,198,268,173,28
44.27,518,-1,198,268,173,28
44.35,518,0,198,268,173,28
44.42,518,2,198,268,172,28
44.47,518,3,198,268,172,28
44.55,518,5,198,268,172,28
44.6,518,6,198,268,172,28
44.65,518,7,198,268,172,28
44.77,518,10,198,268,172,28
44.83,518,11,198,268,171,28
44.89,518,13,198,268,171,28
44.97,518,15,198,268,171,28
45.05,518,17,198,268,171,28
45.12,518,19,198,268,171,28
45.19,518,20,198,268,171,28
45.25,518,21,198,268,170,28
45.31,518,23,198,268,170,28
45.38,518,25,198,268,170,28
45.44,518,26,198,268,170,28
45.51,518,28,198,268,170,28
45.58,518,29,198,268,170,28
45.64,518,30,198,268,170,28
45.69,518,32,198,268,170,28
45.75,518,33,198,268,169,28
45.82,218,-450,-102,7,450,-233
45.89,218,-34,-102,7,206,-233
45.95,218,-35,-102,7,207,-233
46.02,218,-36,-102,7,208,-233
46.08,218,-37,-102,7,209,-233
46.14,218,-38,-102,7,211,-233
46.21,218,-38,-102,7,212,-233
46.27,218,-39,-102,7,213,-233
46.33,218,-40,-102,5,219,-235
46.39,218,-40,-102,5,215,-235
46.44,218,-41,-102,6,213,-234
46.49,180,-115,-140,3,222,-237
46.64,218,105,-102,3,220,-237
46.71,218,-45,-102,3,222,-237
46.82,174,-173,-146,3,224,-237
46.87,219,158,-101,4,222,-236
46.93,180,-220,-140,3,228,-237
46.99,180,-58,-140,3,227,-237
47.07,180,-60,-140,3,229,-237
47.15,180,-61,-140,3,230,-237
47.22,218,83,-102,3,232,-237
47.3,218,-54,-102,3,233,-237
47.37,218,-55,-102,3,234,-237
47.44,180,-199,-140,3,236,-237
47.51,180,-66,-140,3,237,-237
47.59,218,71,-102,3,239,-237
47.66,218,-59,-102,3,240,-237
47.73,218,-60,-102,3,241,-237
47.81,218,-61,-102,3,243,-237
47.88,218,-62,-102,3,244,-237
47.94,218,-63,-102,3,245,-237
